Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1961","1961","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1962","1962","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1963","1963","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1964","1964","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1965","1965","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1966","1966","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1967","1967","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1968","1968","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1969","1969","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1970","1970","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1971","1971","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1972","1972","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1973","1973","tonnes","3100","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1974","1974","tonnes","3200","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1975","1975","tonnes","3300","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1976","1976","tonnes","3500","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1977","1977","tonnes","3500","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1978","1978","tonnes","3600","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1979","1979","tonnes","3600","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1980","1980","tonnes","3000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1981","1981","tonnes","3000","*","Unofficial figure"
